id,mpName,house,state,constituency,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,pendingWorks,unspentAmount,completedWorksValue,totalCompletedAmount,inProgressPayments,paymentGapPercentage
6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,206563957.11,196418200.0,95.0883216743388,57,20,74.02597402597402,0,10145757.110000014,144763000.0,144763000.0,51655200.0,26.298581292364965
6a932b5bcd944524379edf65,Shri Arun Kumar Sagar ,Lok Sabha,Uttar Pradesh,SHAHJAHANPUR,147000000.0,138723000.0,94.36938775510204,4,3,57.14285714285714,0,8277000.0,97143000.0,97143000.0,41580000.0,29.9734002292338
6a932b5bcd944524379edf3a,S SUPONGMEREN JAMIR,Lok Sabha,Nagaland,NAGALAND,147000000.0,138150000.0,93.9795918367347,38,18,67.85714285714286,0,8850000.0,88600000.0,88600000.0,49550000.0,35.86681143684401
6a932b5bcd944524379edfbf,VIJAYLAKSHMI DEVI,Lok Sabha,Bihar,SIWAN,147000000.0,134748616.0,91.66572517006804,95,87,52.19780219780221,0,12251384.0,90543755.0,90543755.0,44204861.0,32.80542859156342
6a932b5bcd944524379edf97,Smt Veena Devi ,Lok Sabha,Bihar,VAISHALI,147000000.0,131108889.0,89.18972040816327,30,29,50.84745762711864,0,15891111.0,93983889.0,93983889.0,37125000.0,28.31615787698422
6a932b5ecd944524379ee2ba,Smt. Darshana Singh (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196994373.87,174994106.0,88.83203238864154,31,16,65.95744680851064,0,22000267.870000005,139851228.0,139851228.0,35142878.0,20.082320943997967
6a932b5ecd944524379ee266,Shri Mithlesh Kumar (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,170753928.0,87.09093222279502,195,9,95.58823529411764,0,25310029.110000014,143813928.0,143813928.0,26940000.0,15.777089473455629
6a932b5ecd944524379ee2cd,Smt. Sangeeta Yadav (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,169940841.0,86.6762272397961,43,78,35.53719008264463,35,26123116.110000014,117219561.0,117219561.0,52721280.0,31.023313577693777
6a932b5ecd944524379ee2bb,Smt. Geeta alias Chandraprabha (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,169877016.35,86.64367426527659,210,37,85.02024291497976,0,26186940.76000002,161572422.35,161572422.35,8304594.0,4.888591863945814
6a932b5ecd944524379ee221,Shri B.L. Verma (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,168937264.09,86.16436523068806,350,64,84.54106280193237,0,27126693.02000001,116682306.09,116682306.09,52254958.0,30.93157586129818
6a932b5ecd944524379ee2d2,Smt. Sumitra Balmik (2022-28),Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,196063957.11,163767349.0,83.52751388574684,62,116,34.831460674157306,54,32296608.110000014,76039991.0,76039991.0,87727358.0,53.568283626548784
6a932b5bcd944524379edde4,Ashok Kumar Rawat,Lok Sabha,Uttar Pradesh,MISRIKH,147000000.0,121139986.0,82.4081537414966,2,3,40.0,1,25860014.0,48614657.0,48614657.0,72525329.0,59.86902540999138
6a932b5ecd944524379ee249,Shri Javed Ali Khan (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,160977854.28,82.10476655313283,125,68,64.76683937823834,0,35086102.83000001,101806791.0,101806791.0,59171063.28,36.75726921858434
6a932b5ecd944524379ee28a,Shri Ramji (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,174518577.11,141923083.0,81.32262212437425,154,91,62.857142857142854,0,32595494.110000014,133996851.0,133996851.0,7926232.0,5.5848786768534335
6a932b5ecd944524379ee213,Prof. Ram Gopal Yadav (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,221271395.11,178725656.0,80.77214676174054,25,56,30.864197530864196,31,42545739.110000014,78745019.0,78745019.0,99980637.0,55.94084209152378
6a932b5bcd944524379edf9e,SUKHDEO BHAGAT,Lok Sabha,Jharkhand,LOHARDAGA,171821957.11,138586757.0,80.65718685259597,80,204,28.169014084507044,124,33235200.110000014,45856503.0,45856503.0,92730254.0,66.91133843329634
6a932b5bcd944524379edef8,Pradeep Kumar Singh,Lok Sabha,Bihar,ARARIA,147000000.0,118278146.0,80.4613238095238,39,47,45.34883720930232,8,28721854.0,94498127.0,94498127.0,23780019.0,20.10516718785903
6a932b5ecd944524379ee27f,Shri R. Dharmar (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,260812242.52,207877791.0,79.70400046848229,189,55,77.45901639344262,0,52934451.52000001,204379819.0,204379819.0,3497972.0,1.6827059702592275
6a932b5ecd944524379ee23e,Shri Hardeep Singh Puri (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,226801049.11,180480217.2,79.57644724670823,278,137,66.98795180722892,0,46320831.910000026,112016608.2,112016608.2,68463608.99999999,37.93413486649992
6a932b5ecd944524379ee1f6,Dr. Faiyaz Ahmad (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,235263957.11,183753433.0,78.10522073046839,132,57,69.84126984126983,0,51510524.110000014,147781746.0,147781746.0,35971687.0,19.576062559876092
6a932b5bcd944524379ede61,Giridhari Yadav,Lok Sabha,Bihar,BANKA,147000000.0,114805889.0,78.09924421768707,85,35,70.83333333333334,0,32194111.0,97151866.0,97151866.0,17654023.0,15.37727999301499
6a932b5ecd944524379ee255,Shri Khiru Mahto (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,235770091.81,183791258.0,77.95359309106594,171,6,96.61016949152544,0,51978833.81,179942987.0,179942987.0,3848271.0,2.093827008899411
6a932b5ecd944524379ee2ce,Smt. Seema Dwivedi (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,173830159.11,135282718.4,77.82465315146658,210,198,51.47058823529411,0,38547440.71000001,104021540.4,104021540.4,31261178.0,23.108035061483506
6a932b5ecd944524379ee2c7,Smt. Ranjeet Ranjan (2022-28),Rajya Sabha,Chhattisgarh,Sitting Rajya Sabha,246780257.87,185739464.0,75.26512274650618,160,121,56.93950177935944,0,61040793.870000005,131171025.0,131171025.0,54568439.0,29.379022543103712
6a932b5ecd944524379ee1f2,Dr. Bhim Singh (2024-30),Rajya Sabha,Bihar,Sitting Rajya Sabha,186200000.0,139819329.0,75.09093931256713,233,81,74.20382165605095,0,46380671.0,93849329.0,93849329.0,45970000.0,32.87814376508702
6a932b5ecd944524379ee294,Shri S. Kalyanasundaram (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,239763792.52,179863534.0,75.01697070669942,141,44,76.21621621621621,0,59900258.52000001,164924211.0,164924211.0,14939323.0,8.305920976733393
6a932b5ecd944524379ee2a7,Shri Shambhu Sharan Patel (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,237168443.49,175484824.0,73.99164130678251,199,109,64.6103896103896,0,61683619.49000001,157543823.0,157543823.0,17941001.0,10.223676663914825
6a932b5bcd944524379eded7,Mukesh Rajput,Lok Sabha,Uttar Pradesh,FARRUKHABAD,147000000.0,108417412.0,73.75334149659864,246,49,83.38983050847457,0,38582588.0,92642945.0,92642945.0,15774467.0,14.549754240582685
6a932b5ecd944524379ee1f4,Dr. Dharmshila Gupta (2024-30),Rajya Sabha,Bihar,Sitting Rajya Sabha,186200000.0,136714265.0,73.42334317937701,87,55,61.267605633802816,0,49485735.0,114316446.0,114316446.0,22397819.0,16.382942189682986
6a932b5bcd944524379edf2b,Ramprit Mandal,Lok Sabha,Bihar,JHANJHARPUR,147000000.0,107510581.0,73.13644965986394,90,91,49.72375690607735,1,39489419.0,92399719.0,92399719.0,15110862.0,14.05523238684758
6a932b5bcd944524379edf24,RAM PRASAD CHAUDHARY,Lok Sabha,Uttar Pradesh,BASTI,204176957.11,148429426.0,72.69646296081976,37,146,20.21857923497268,109,55747531.110000014,63914240.0,63914240.0,84515186.0,56.93964349090726
6a932b5bcd944524379eddce,ANDREW J. SYNGKON,Lok Sabha,Meghalaya,SHILLONG,98000000.0,70505000.0,71.9438775510204,98,146,40.16393442622951,48,27495000.0,36350000.0,36350000.0,34155000.0,48.44337281043898
6a932b5bcd944524379ede4a,DR. RAJESH MISHRA,Lok Sabha,Madhya Pradesh,SIDHI,262724510.35,184983789.0,70.40979494207286,172,169,50.43988269794721,0,77740721.35,136499025.0,136499025.0,48484764.0,26.210277269215197
6a932b5ecd944524379ee280,Shri R. Girirajan (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,236312242.52,165928789.0,70.21590893072617,150,71,67.87330316742081,0,70383453.52000001,124310817.0,124310817.0,41617972.0,25.08182712042815
6a932b5ecd944524379ee2bf,Smt. Mahua Maji (2022-28),Rajya Sabha,Jharkhand,Sitting Rajya Sabha,232524001.2,163193927.0,70.18369121372233,150,315,32.25806451612903,165,69330074.19999999,81123339.0,81123339.0,82070588.0,50.2902218904261
6a932b5ecd944524379ee216,Shri Aditya Prasad (2022-28),Rajya Sabha,Jharkhand,Sitting Rajya Sabha,227628508.2,159474868.0,70.05926861317452,141,85,62.38938053097345,0,68153640.19999999,115687342.0,115687342.0,43787526.0,27.45732073595446
