workId,state,state_hi,district,district_hi,location,location_hi,category,category_hi,estimated_cost,status,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,standard_cost,work_date,rec_dt,aging_days
179124,Andhra Pradesh,Andhra Pradesh,RAJAHMUNDRY,RAJAHMUNDRY,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Normal/Others,Normal/Others,8000000,Recommended,Recommended,2025-03-12T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of additional infrastructure at Phule Ambedkar Bhavan in the Municipal Corporation of Rajamahendravaram,Construction of additional infrastructure at Phule Ambedkar Bhavan in the Municipal Corporation of Rajamahendravaram,,Daggubati Purandeshwari,,RAJAHMUNDRY,8000000,2025-03-12T00:00:00.000Z,2025-03-12 00:00:00+00:00,538
157510,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,1000000,Recommended,Recommended,2024-12-09T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Construction of SC Community Hall in Kothapalli village of Kambadur Mandal,Construction of SC Community Hall in Kothapalli village of Kambadur Mandal,,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,1000000,2024-12-09T00:00:00.000Z,2024-12-09 00:00:00+00:00,631
180022,Andhra Pradesh,Andhra Pradesh,RAJAHMUNDRY,RAJAHMUNDRY,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Trust and Society,Trust and Society,5000000,Recommended,Recommended,2025-03-12T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Hospital building in Sri Vivekananda Maharogi Arogya Kendram at Bommuru Village,Hospital building in Sri Vivekananda Maharogi Arogya Kendram at Bommuru Village,,Daggubati Purandeshwari,,RAJAHMUNDRY,5000000,2025-03-12T00:00:00.000Z,2025-03-12 00:00:00+00:00,538
180801,Andhra Pradesh,Andhra Pradesh,MACHILIPATNAM,MACHILIPATNAM,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Repair and Renovation,Repair and Renovation,3000000,Recommended,Recommended,2025-03-10T00:00:00.000Z,2025,Lok Sabha,18,0,True,2168199,1,Repairs to SS filters and recoupment of filter media in SS filers 2 numbers of PWS scheme,Repairs to SS filters and recoupment of filter media in SS filers 2 numbers of PWS scheme,,Balashowry Vallabbhaneni,,MACHILIPATNAM,3000000,2025-03-10T00:00:00.000Z,2025-03-10 00:00:00+00:00,540
157527,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2024-12-09T00:00:00.000Z,2024,Lok Sabha,18,0,True,499613,1,Providing Bus Sheltar at Chennampalli village of  Kambadur Mandal,Providing Bus Sheltar at Chennampalli village of  Kambadur Mandal,,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,500000,2024-12-09T00:00:00.000Z,2024-12-09 00:00:00+00:00,631
180804,Andhra Pradesh,Andhra Pradesh,MACHILIPATNAM,MACHILIPATNAM,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Repair and Renovation,Repair and Renovation,900000,Recommended,Recommended,2025-03-10T00:00:00.000Z,2025,Lok Sabha,18,0,True,654660,1,Recoupment of filter media to SS filters 1 number of PWS scheme in Vadlamannadu village of Gudlavalleru Mandal in Krishna District,Recoupment of filter media to SS filters 1 number of PWS scheme in Vadlamannadu village of Gudlavalleru Mandal in Krishna District,,Balashowry Vallabbhaneni,,MACHILIPATNAM,900000,2025-03-10T00:00:00.000Z,2025-03-10 00:00:00+00:00,540
1360,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Normal/Others,Normal/Others,499451,Recommended,Recommended,2025-06-16T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of CC Road from Leburu Ankalamma Temple to Pallipadu Road of Lebur village in Indukurpeta Mandal, SPS Nellore District.","Construction of CC Road from Leburu Ankalamma Temple to Pallipadu Road of Lebur village in Indukurpeta Mandal, SPS Nellore District.",,Maddila Gurumoorthy,,TIRUPATI,499451,2025-06-16T00:00:00.000Z,2025-06-16 00:00:00+00:00,442
182047,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,499000,Recommended,Recommended,2025-04-04T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Fromation of Gravel Road from BC Colony Yerragandu Veerareddy fields to  other locations in Thavvaraipalli  of Khajipeta,Fromation of Gravel Road from BC Colony Yerragandu Veerareddy fields to  other locations in Thavvaraipalli  of Khajipeta,,Y S Avinash Reddy,,KADAPA,499000,2025-04-04T00:00:00.000Z,2025-04-04 00:00:00+00:00,515
157627,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,180000,Recommended,Recommended,2024-12-09T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Providing Borewell at Near Panchayath Office, Ananthaiahgaripalli  (V&G.P)","Providing Borewell at Near Panchayath Office, Ananthaiahgaripalli  (V&G.P)",,Midhun Reddy,,RAJAMPET,180000,2024-12-09T00:00:00.000Z,2024-12-09 00:00:00+00:00,631
182159,Andhra Pradesh,Andhra Pradesh,KAKINADA,KAKINADA,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-03-15T00:00:00.000Z,2025,Lok Sabha,18,0,True,496902,1,Construction of Compound wall to Burial Ground at North and East side,Construction of Compound wall to Burial Ground at North and East side,,TANGELLA UDAY SRINIVAS,,KAKINADA,500000,2025-03-15T00:00:00.000Z,2025-03-15 00:00:00+00:00,535
182164,Andhra Pradesh,Andhra Pradesh,KAKINADA,KAKINADA,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Normal/Others,Normal/Others,2000000,Recommended,Recommended,2025-03-15T00:00:00.000Z,2025,Lok Sabha,18,0,True,1664113,1,Construction of Community Hall at 28th Ward,Construction of Community Hall at 28th Ward,,TANGELLA UDAY SRINIVAS,,KAKINADA,2000000,2025-03-15T00:00:00.000Z,2025-03-15 00:00:00+00:00,535
157652,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,150000,Recommended,Recommended,2024-12-09T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Providing 10 HP Motor & Pump set and G.I Pipes at Eguvarajuvaripalli (V), Reddivaripalli (G.P)","Providing 10 HP Motor & Pump set and G.I Pipes at Eguvarajuvaripalli (V), Reddivaripalli (G.P)",,Midhun Reddy,,RAJAMPET,150000,2024-12-09T00:00:00.000Z,2024-12-09 00:00:00+00:00,631
182167,Andhra Pradesh,Andhra Pradesh,KAKINADA,KAKINADA,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-03-15T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of Market shed at 6th ward,Construction of Market shed at 6th ward,,TANGELLA UDAY SRINIVAS,,KAKINADA,500000,2025-03-15T00:00:00.000Z,2025-03-15 00:00:00+00:00,535
175556,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS(Implementing District Authority(SA)),SOUTH ANDAMANS(Implementing District Authority(SA)),Repair and Renovation,Repair and Renovation,4947034,Recommended,Recommended,2025-02-14T00:00:00.000Z,2025,Lok Sabha,18,0,True,3655060,1,"Repair and renovation of road from CPWD complex, Ranchi Tikrey Dairyfarm to Fisheries Quarter, Port Blair","Repair and renovation of road from CPWD complex, Ranchi Tikrey Dairyfarm to Fisheries Quarter, Port Blair",,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,4947034,2025-02-14T00:00:00.000Z,2025-02-14 00:00:00+00:00,564
175561,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS(Implementing District Authority(SA)),SOUTH ANDAMANS(Implementing District Authority(SA)),Normal/Others,Normal/Others,1498887,Recommended,Recommended,2025-02-14T00:00:00.000Z,2025,Lok Sabha,18,0,True,1189292,1,"Construction of CC Motorable road between Govt. Primary School and Shri SK Singh house at Garacharma, Ward No.18, Port Blair","Construction of CC Motorable road between Govt. Primary School and Shri SK Singh house at Garacharma, Ward No.18, Port Blair",,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,1498887,2025-02-14T00:00:00.000Z,2025-02-14 00:00:00+00:00,564
188528,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS(Implementing District Authority(SA)),SOUTH ANDAMANS(Implementing District Authority(SA)),Normal/Others,Normal/Others,1320600,Recommended,Recommended,2025-04-01T00:00:00.000Z,2025,Lok Sabha,18,0,True,803540,1,"Construction of CC drain from CPWD quarters to Fisheries Quarters via Sree Shaktivel Murugan Temple for a length of 350 mtrs at Ranci Tikrey, Dairy Farm, Ward No.9, SVP.","Construction of CC drain from CPWD quarters to Fisheries Quarters via Sree Shaktivel Murugan Temple for a length of 350 mtrs at Ranci Tikrey, Dairy Farm, Ward No.9, SVP.",,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,1320600,2025-04-01T00:00:00.000Z,2025-04-01 00:00:00+00:00,518
899,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,390388,Recommended,Recommended,2024-11-02T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Construction of CC Road D. Narayana house to R&B road in Pullareddy Palli H/W (V), Anantha Samudram G.P. in Pullampeta Mandal.","Construction of CC Road D. Narayana house to R&B road in Pullareddy Palli H/W (V), Anantha Samudram G.P. in Pullampeta Mandal.",,Maddila Gurumoorthy,,TIRUPATI,390388,2024-11-02T00:00:00.000Z,2024-11-02 00:00:00+00:00,668
1489,Andhra Pradesh,Andhra Pradesh,ARAKU,ARAKU,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-08-07T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,construction of cc road from n16 road to kallepali venkataraju site of konthamuru,construction of cc road from n16 road to kallepali venkataraju site of konthamuru,,Gumma Thanuja Rani,,ARAKU,500000,2025-08-07T00:00:00.000Z,2025-08-07 00:00:00+00:00,390
141551,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,490000,Recommended,Recommended,2024-09-18T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Construction of WBM Road from Jimkalamitta SC Colony to Snam alloys Pvt. Link road at Jimkalamitta Village, Damalacheruvu GP of Pakala Mandal, Chandragiri Constituency.","Construction of WBM Road from Jimkalamitta SC Colony to Snam alloys Pvt. Link road at Jimkalamitta Village, Damalacheruvu GP of Pakala Mandal, Chandragiri Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,490000,2024-09-18T00:00:00.000Z,2024-09-18 00:00:00+00:00,713
161715,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,180000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Providing street lights and fixtures at Irugulam in Satyavedu Mandal.,Providing street lights and fixtures at Irugulam in Satyavedu Mandal.,,Maddila Gurumoorthy,,TIRUPATI,180000,2024-12-27T00:00:00.000Z,2024-12-27 00:00:00+00:00,613
199552,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,300000,Recommended,Recommended,2025-05-19T00:00:00.000Z,2025,Lok Sabha,18,0,True,299331,1,Construction of CC Open Drain with cover slab from Mekapilla Guravaiah house to gonu Thirupalaiah house at Akkurthy HW Ho Akkurthy GP in Srikalahasthi Mandal.,Construction of CC Open Drain with cover slab from Mekapilla Guravaiah house to gonu Thirupalaiah house at Akkurthy HW Ho Akkurthy GP in Srikalahasthi Mandal.,,Maddila Gurumoorthy,,TIRUPATI,300000,2025-05-19T00:00:00.000Z,2025-05-19 00:00:00+00:00,470
182352,Andhra Pradesh,Andhra Pradesh,GUNTUR,GUNTUR,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Normal/Others,Normal/Others,2500000,Recommended,Recommended,2025-03-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing ceremony rooms location at burial ground in Angalakuduru village of Tenali Mandal, Guntur District","Providing ceremony rooms location at burial ground in Angalakuduru village of Tenali Mandal, Guntur District",,Dr Chandra Sekhar Pemmasani,,GUNTUR,2500000,2025-03-30T00:00:00.000Z,2025-03-30 00:00:00+00:00,520
183349,Andhra Pradesh,Andhra Pradesh,ELURU,ELURU,Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),Normal/Others,Normal/Others,250000,Recommended,Recommended,2025-03-18T00:00:00.000Z,2025,Lok Sabha,18,0,True,235134,1,Extension Of Pipe Line at Nagendra Swamy Temple in Danagudem Road of Kaikalur Village.,Extension Of Pipe Line at Nagendra Swamy Temple in Danagudem Road of Kaikalur Village.,,Putta Mahesh Kumar,,ELURU,250000,2025-03-18T00:00:00.000Z,2025-03-18 00:00:00+00:00,532
158196,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2024-12-12T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Establishment of a Mineral Water Plant in Thudicherla Village, Jupad Bunglow Mandal with a budget allocation of ?5,00,000 to ensure access to safe drinking water for the residents.","Establishment of a Mineral Water Plant in Thudicherla Village, Jupad Bunglow Mandal with a budget allocation of ?5,00,000 to ensure access to safe drinking water for the residents.",,DR BYREDDY SHABARI,,NANDYAL,500000,2024-12-12T00:00:00.000Z,2024-12-12 00:00:00+00:00,628
183409,Andhra Pradesh,Andhra Pradesh,ELURU,ELURU,Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),Normal/Others,Normal/Others,280000,Recommended,Recommended,2025-03-18T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,The DC estimate is for Shofting of 160 Mts.33KV Line Duly Erecting 150Mts.33KV line on 33KV Vangayagudem-Santhoshnagar-Santhinagar Feeder,The DC estimate is for Shofting of 160 Mts.33KV Line Duly Erecting 150Mts.33KV line on 33KV Vangayagudem-Santhoshnagar-Santhinagar Feeder,,Putta Mahesh Kumar,,ELURU,280000,2025-03-18T00:00:00.000Z,2025-03-18 00:00:00+00:00,532
1362,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,1767296,Recommended,Recommended,2025-06-16T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing CC Road and Culvert from Bujji Basha house to KM Palli, Veeraballi GP and Mandal, Annamayya District.","Providing CC Road and Culvert from Bujji Basha house to KM Palli, Veeraballi GP and Mandal, Annamayya District.",,Maddila Gurumoorthy,,TIRUPATI,1767296,2025-06-16T00:00:00.000Z,2025-06-16 00:00:00+00:00,442
185211,Andhra Pradesh,Andhra Pradesh,ELURU,ELURU,Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),Repair and Renovation,Repair and Renovation,2500000,Recommended,Recommended,2025-03-21T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Renovation and Repairs of Girls Hostel Building of SSR Govt,P.E.T College in Gopannapalem(V) Denduluru(M)","Renovation and Repairs of Girls Hostel Building of SSR Govt,P.E.T College in Gopannapalem(V) Denduluru(M)",,Putta Mahesh Kumar,,ELURU,2500000,2025-03-21T00:00:00.000Z,2025-03-21 00:00:00+00:00,529
158437,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2024-12-13T00:00:00.000Z,2024,Lok Sabha,18,0,True,499622,1,"Establishment of a mineral water plant in Pedda Gummadapuram Village of Kothapalle Mandal to provide safe and clean drinking water, ensuring improved public health, hygiene, and accessibility to potable water for the residents.","Establishment of a mineral water plant in Pedda Gummadapuram Village of Kothapalle Mandal to provide safe and clean drinking water, ensuring improved public health, hygiene, and accessibility to potable water for the residents.",,DR BYREDDY SHABARI,,NANDYAL,500000,2024-12-13T00:00:00.000Z,2024-12-13 00:00:00+00:00,627
186736,Andhra Pradesh,Andhra Pradesh,BAPATLA,BAPATLA,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Normal/Others,Normal/Others,1000000,Recommended,Recommended,2025-03-26T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Purchase of IT Systems including hardware and software for education purpose in Bapatla Municipal High School, Bapatla Municipality","Purchase of IT Systems including hardware and software for education purpose in Bapatla Municipal High School, Bapatla Municipality",,Krishna Prasad Tenneti,,BAPATLA,1000000,2025-03-26T00:00:00.000Z,2025-03-26 00:00:00+00:00,524
188548,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,200000,Recommended,Recommended,2025-04-01T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Borewell at Palyam Near Ayyappa Swamy Temple, Palyam (G.P) Kallur","Borewell at Palyam Near Ayyappa Swamy Temple, Palyam (G.P) Kallur",,Midhun Reddy,,RAJAMPET,200000,2025-04-01T00:00:00.000Z,2025-04-01 00:00:00+00:00,518
